ADM_CD,ADM_NM,dong_1_name,dong_1_code,dong_1_distance,dong_2_name,dong_2_code,dong_2_distance,dong_3_name,dong_3_code,dong_3_distance,dong_4_name,dong_4_code,dong_4_distance,dong_5_name,dong_5_code,dong_5_distance,dong_6_name,dong_6_code,dong_6_distance,dong_7_name,dong_7_code,dong_7_distance,dong_8_name,dong_8_code,dong_8_distance,dong_9_name,dong_9_code,dong_9_distance,dong_10_name,dong_10_code,dong_10_distance
11030630,이촌1동,한강로동,11030730,1573.1550341443938,서빙고동,11030690,1595.0368162311477,이촌2동,11030640,1769.921958651553,원효로1동,11030720,2518.8366966593967,원효로2동,11030570,2683.8439345097977,이태원1동,11030650,2770.549612966635,용산2가동,11030520,2783.7345080351115,용문동,11030590,2787.792747543125,보광동,11030700,2884.567695082639,효창동,11030580,3211.7923956935615
11030640,이촌2동,원효로2동,11030570,1229.7360759459852,한강로동,11030730,1449.0766797383499,용문동,11030590,1720.4001494904333,이촌1동,11030630,1769.921958651553,원효로1동,11030720,1956.7540900313575,효창동,11030580,2292.513832636355,청파동,11030710,2961.6997427689025,남영동,11030530,2972.9100972641263,서빙고동,11030690,3088.0623875665315,용산2가동,11030520,3198.683206278237
11030660,이태원2동,용산2가동,11030520,749.7323451213026,이태원1동,11030650,937.7958187065336,한남동,11030740,1250.7533705229014,후암동,11030510,1355.7578291628647,남영동,11030530,1542.5266631279899,보광동,11030700,1826.026854598589,원효로1동,11030720,2301.7592053287244,청파동,11030710,2319.0027723220983,서빙고동,11030690,2470.4323382014695,한강로동,11030730,2502.4046545855244
11040520,왕십리2동,행당2동,11040570,556.5550235116666,왕십리도선동,11040710,621.9393296482672,행당1동,11040560,790.7641761292441,금호1가동,11040590,905.6930305029439,응봉동,11040580,1286.7539478568158,금호23가동,11040720,1308.508016140532,마장동,11040540,1315.45629739699,사근동,11040550,1603.576741816162,금호4가동,11040620,1809.3554092458996,성수1가2동,11040660,1970.11515808238
11040540,마장동,왕십리도선동,11040710,972.8733514751251,행당1동,11040560,1003.2893919143261,사근동,11040550,1115.0501343068604,왕십리2동,11040520,1315.45629739699,행당2동,11040570,1534.4385885358306,용답동,11040700,1763.662689949681,응봉동,11040580,1932.655991731965,성수1가2동,11040660,2059.4274806949393,금호1가동,11040590,2063.387520143243,금호23가동,11040720,2544.9383221553967
11040730,옥수동,금호4가동,11040620,595.102344032888,금호23가동,11040720,1172.4471483349364,금호1가동,11040590,1465.755999907547,응봉동,11040580,1608.3371714233706,성수1가1동,11040650,1915.795698118336,행당2동,11040570,1930.367412219921,성수1가2동,11040660,2230.2057452190966,왕십리2동,11040520,2371.4471006540934,행당1동,11040560,2448.0876360042193,사근동,11040550,2911.5747302856116
11040550,사근동,행당1동,11040560,821.4222595377546,성수1가2동,11040660,1021.9811672713673,용답동,11040700,1070.3565735235416,마장동,11040540,1115.0501343068604,응봉동,11040580,1307.0154417661972,행당2동,11040570,1399.3608607087626,왕십리2동,11040520,1603.576741816162,왕십리도선동,11040710,1698.0634754162202,송정동,11040690,1784.437243493799,성수2가3동,11040680,1787.431602460055
11040590,금호1가동,금호23가동,11040720,504.6617056460917,행당2동,11040570,536.6271782777828,응봉동,11040580,828.372918571349,왕십리2동,11040520,905.6930305029439,금호4가동,11040620,911.9760893701658,행당1동,11040560,1161.964334794131,옥수동,11040730,1465.755999907547,왕십리도선동,11040710,1527.6321021717515,성수1가2동,11040660,1725.1455122837524,사근동,11040550,1871.9421530342868
11040620,금호4가동,옥수동,11040730,595.102344032888,금호23가동,11040720,762.8693399710263,금호1가동,11040590,911.9760893701658,응봉동,11040580,1041.3513931246475,행당2동,11040570,1342.7090301358073,성수1가1동,11040650,1679.0450874965493,성수1가2동,11040660,1767.9391745700245,왕십리2동,11040520,1809.3554092458996,행당1동,11040560,1853.5375328633718,사근동,11040550,2347.9612949591915
11040650,성수1가1동,성수1가2동,11040660,920.5025966000176,성수2가1동,11040670,1252.8959093365982,응봉동,11040580,1350.0311367184333,성수2가3동,11040680,1494.430861465862,금호4가동,11040620,1679.0450874965493,옥수동,11040730,1915.795698118336,사근동,11040550,1942.4018295515377,금호1가동,11040590,2084.775817639713,행당2동,11040570,2084.791987471503,행당1동,11040560,2100.1187308546146
11040670,성수2가1동,성수2가3동,11040680,1051.4823589601222,성수1가1동,11040650,1252.8959093365982,성수1가2동,11040660,1741.7924152800388,송정동,11040690,1945.324123916338,응봉동,11040580,2496.677050762236,용답동,11040700,2510.4882523481247,사근동,11040550,2568.793040921717,금호4가동,11040620,2928.7179007262544,행당1동,11040560,3036.206375545216,옥수동,11040730,3108.199066848242
11040690,송정동,성수2가3동,11040680,931.4551616593626,용답동,11040700,941.7382870409924,사근동,11040550,1784.437243493799,성수1가2동,11040660,1858.6127593573722,성수2가1동,11040670,1945.324123916338,성수1가1동,11040650,2329.51626511421,행당1동,11040560,2590.4501555334723,마장동,11040540,2674.8484417378086,응봉동,11040580,2702.779846451037,행당2동,11040570,3093.8295959035927
11040700,용답동,송정동,11040690,941.7382870409924,사근동,11040550,1070.3565735235416,성수2가3동,11040680,1481.6750902727902,성수1가2동,11040660,1642.4333734777986,마장동,11040540,1763.662689949681,행당1동,11040560,1881.1741631415618,응봉동,11040580,2279.366264942848,성수1가1동,11040650,2418.2267690408326,행당2동,11040570,2469.4031873018776,성수2가1동,11040670,2510.4882523481247
11040560,행당1동,행당2동,11040570,634.9656301360992,왕십리2동,11040520,790.7641761292441,사근동,11040550,821.4222595377546,응봉동,11040580,936.0734090671846,마장동,11040540,1003.2893919143261,왕십리도선동,11040710,1038.6563146414849,금호1가동,11040590,1161.964334794131,성수1가2동,11040660,1298.07351233206,금호23가동,11040720,1666.1312477781398,금호4가동,11040620,1853.5375328633718
11040570,행당2동,금호1가동,11040590,536.6271782777828,왕십리2동,11040520,556.5550235116666,행당1동,11040560,634.9656301360992,응봉동,11040580,736.4355226978084,금호23가동,11040720,1036.4662764387838,왕십리도선동,11040710,1129.2730430550641,금호4가동,11040620,1342.7090301358073,사근동,11040550,1399.3608607087626,성수1가2동,11040660,1499.9943626378556,마장동,11040540,1534.4385885358306
