ADM_CD,행정동코드,total_all,solo_all,total_20,solo_20,total_30,solo_30,total_40,solo_40,total_50,solo_50,total_60,solo_60,total_70,solo_70,자치구,행정동명
11210690,1121069.0,18760.0,12306.0,6667.0,5812.0,5188.0,4035.0,2282.0,1192.0,1985.0,563.0,1550.0,415.0,1088.0,289.0,관악구,신림동
11210710,1121071.0,13125.0,1733.0,1721.0,151.0,2760.0,274.0,2953.0,295.0,2413.0,313.0,1941.0,286.0,1337.0,414.0,관악구,난향동
11210720,1121072.0,18282.0,6429.0,3595.0,2053.0,3793.0,1925.0,3109.0,805.0,3686.0,725.0,2450.0,488.0,1649.0,433.0,관악구,조원동
11210730,1121073.0,21886.0,11072.0,6044.0,4321.0,5350.0,3360.0,3666.0,1685.0,3019.0,807.0,2139.0,508.0,1668.0,391.0,관악구,대학동
11220620,1122062.0,14240.0,2480.0,2435.0,593.0,3141.0,807.0,2502.0,350.0,2423.0,237.0,2008.0,186.0,1731.0,307.0,서초구,방배1동
11210780,1121078.0,29845.0,6034.0,5290.0,1781.0,6521.0,1578.0,5660.0,734.0,5237.0,532.0,4245.0,625.0,2892.0,784.0,관악구,은천동
11210790,1121079.0,26652.0,3591.0,3757.0,406.0,5073.0,551.0,5824.0,423.0,5009.0,547.0,3911.0,661.0,3078.0,1003.0,관악구,성현동
11210800,1121080.0,27567.0,12259.0,7928.0,5840.0,6014.0,3484.0,4023.0,1067.0,4093.0,639.0,3294.0,574.0,2215.0,655.0,관악구,청룡동
11210810,1121081.0,25360.0,4767.0,4409.0,601.0,4373.0,811.0,4835.0,746.0,5218.0,823.0,3782.0,817.0,2743.0,969.0,관악구,난곡동
11220510,1122051.0,17882.0,3415.0,3644.0,870.0,3700.0,1208.0,3369.0,521.0,3105.0,324.0,2290.0,248.0,1774.0,244.0,서초구,서초1동
11220530,1122053.0,25771.0,4435.0,4883.0,1194.0,4471.0,1347.0,4730.0,717.0,5007.0,419.0,3587.0,337.0,3093.0,421.0,서초구,서초3동
11220550,1122055.0,25360.0,3524.0,3845.0,616.0,5515.0,1076.0,6644.0,650.0,4558.0,400.0,2814.0,341.0,1984.0,441.0,서초구,잠원동
11220580,1122058.0,13874.0,846.0,1628.0,136.0,2271.0,157.0,4095.0,107.0,2804.0,85.0,1731.0,91.0,1345.0,270.0,서초구,반포2동
