ADM_CD,사업체수_2022,종사자수_2022,농업 임업 및 어업,광업,제조업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,건설업,도매 및 소매업,운수 및 창고업,숙박 및 음식점업,정보통신업,금융 및 보험업,부동산업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,교육 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업, 협회 및 단체 수리 및 기타 개인 서비스업,면적,금융기관_2022,금융기관_2023,유통업체수_2022,대형마트,백화점,전문점,쇼핑센터,복합쇼핑몰,그밖의 대규모점포,유통업체수_대형마트외,주택수_2020,단독주택수,일반단독주택,다가구주택,영업겸용주택,아파트,연립주택,다세대주택,비거주용건물내주택,대학교,기타대학
11070520.0,2505,6224,0,0,1584,1,6,414,1067,547,555,140,21,140,148,138,91,256,751,84,281,0.77,0,0,0,0,0,0,0,0,0,0,6489,1528,98,1133,297,2444,210,2125,182,0.0,0.0
11070540.0,2689,5145,0,0,622,0,2,1568,529,774,235,45,36,113,104,68,67,312,363,120,187,0.87,0,0,0,0,0,0,0,0,0,0,5408,1034,80,793,161,2867,157,1288,62,0.0,0.0
11070550.0,1222,3466,0,0,856,0,6,447,706,470,200,23,20,103,67,78,74,51,172,46,147,0.7,0,0,1,1,0,0,0,0,0,0,4409,621,68,445,108,2174,264,1300,50,0.0,0.0
11070710.0,3373,7745,0,0,1674,0,8,419,1506,418,890,73,92,288,105,181,77,391,1126,121,376,0.84,0,0,1,0,0,0,0,0,1,1,8582,2427,263,1794,370,962,220,4856,117,0.0,0.0
11070570.0,1942,4653,0,0,810,0,8,325,923,265,500,46,152,190,108,85,21,181,648,110,281,1.2,0,0,1,0,0,0,0,0,1,1,6204,1264,219,858,187,3151,232,1454,103,0.0,0.0
11070720.0,2869,8199,0,0,1145,0,0,330,1010,778,997,58,116,219,258,310,79,1060,1310,161,368,1.63,0,0,0,0,0,0,0,0,0,0,6375,1822,170,1295,357,1942,429,2055,127,0.0,0.0
11070590.0,2024,6686,0,0,522,0,3,553,1082,1041,576,196,349,230,123,304,23,649,776,71,188,0.88,0,0,2,1,0,0,0,1,0,1,7937,622,91,413,118,5365,258,1639,53,0.0,0.0
11070600.0,3487,9342,0,0,930,1,7,928,2067,407,1493,230,270,349,219,172,143,228,1113,454,331,0.65,0,0,2,1,0,0,0,0,1,1,6146,906,76,633,197,2043,173,2891,133,0.0,0.0
11070610.0,1595,4237,0,0,478,9,11,342,846,283,238,43,30,117,104,207,30,563,648,34,254,0.64,0,0,0,0,0,0,0,0,0,0,5691,738,58,536,144,2120,639,2137,57,0.0,0.0
11070620.0,2574,6863,0,0,721,0,26,527,1249,398,863,90,96,164,253,1172,109,115,541,148,391,1.01,0,0,1,0,0,0,0,0,1,1,6553,2199,163,1704,332,868,561,2790,135,0.0,0.0
11070640.0,2341,5885,0,2,333,91,0,491,1212,437,727,86,107,291,130,209,64,627,578,171,329,1.2,0,0,1,1,0,0,0,0,0,0,10805,788,56,573,159,6568,360,3004,85,0.0,0.0
11070650.0,2368,4721,0,2,500,0,12,395,890,625,441,93,67,165,168,152,54,265,523,86,283,0.67,0,0,0,0,0,0,0,0,0,0,5309,996,78,705,213,1652,154,2375,132,0.0,0.0
11070730.0,4850,13559,0,0,1676,1,60,1277,2013,1891,1208,98,192,376,156,323,136,1096,2134,282,640,3.03,0,0,1,1,0,0,0,0,0,0,7453,1822,175,1297,350,3446,401,1624,160,0.0,0.0
11070680.0,1510,4224,0,0,1106,2,6,304,604,409,234,37,27,80,52,152,25,384,562,47,193,0.92,0,0,1,0,0,0,0,0,1,1,3604,1348,112,1023,213,61,111,2018,66,0.0,0.0
11070690.0,3435,16271,0,0,1449,0,75,1960,2218,2183,822,553,88,292,626,998,404,654,3273,200,476,2.56,0,0,1,0,0,0,0,0,1,1,12959,436,73,262,101,11411,297,747,68,0.0,0.0
11070700.0,1536,7513,0,0,50,3,5,311,638,309,460,38,51,188,139,235,2916,801,1081,97,191,0.93,0,0,2,1,0,0,0,0,1,1,8440,9,7,0,0,8425,0,0,6,0.0,0.0
11080810.0,1792,6192,0,0,187,7,0,202,1056,102,855,424,53,210,459,303,61,962,601,143,567,2.86,0,0,1,0,0,0,0,0,1,1,5605,2391,1765,448,178,630,769,1729,86,0.0,0.0
11080820.0,2524,11818,0,0,351,0,5,271,1532,291,977,223,161,251,473,1024,3335,1566,867,157,334,0.92,0,0,1,0,0,0,0,0,1,1,6987,2002,846,857,299,2897,284,1676,128,2.0,0.0
11080830.0,2622,10582,0,0,189,0,2,645,1333,267,1913,462,109,299,281,420,21,2586,1181,312,562,0.73,0,0,1,0,0,0,0,1,0,1,4298,1129,375,519,235,1086,400,1548,135,1.0,0.0
