ADM_CD,total_all_2022,solo_all_2022,total_20_2022,solo_20_2022,total_25_2022,solo_25_2022,total_30_2022,solo_30_2022,total_35_2022,solo_35_2022,solo_20s_2022,solo_30s_2022,solo_all_ratio,solo_20s_ratio,solo_30s_ratio
11230760,30419.0,4856.0,2223.0,384.0,2261.0,441.0,3690.0,862.0,4101.0,846.0,412.5,854.0,15.963706893717742,8.494645799011533,17.58649093904448
11180510,21956.0,9935.0,1395.0,1011.0,3281.0,2554.0,3028.0,2030.0,2049.0,1178.0,1782.5,1604.0,45.24959008926945,17.94162053346754,16.144942123804732
11240810,26984.0,3259.0,2366.0,176.0,2095.0,161.0,2853.0,375.0,3126.0,373.0,168.5,374.0,12.077527423658465,5.170297637312059,11.475912856704511
11240820,11284.0,1133.0,651.0,70.0,639.0,56.0,863.0,58.0,1464.0,88.0,63.0,73.0,10.040765685926976,5.560458958517211,6.44307149161518
11220520,16066.0,3678.0,1086.0,358.0,1508.0,546.0,2058.0,769.0,1905.0,636.0,452.0,702.5,22.893066102327897,12.289287656334965,19.10005437737901
11210660,22032.0,9000.0,2323.0,1475.0,3492.0,2235.0,3273.0,1770.0,2155.0,1071.0,1855.0,1420.5,40.849673202614376,20.61111111111111,15.783333333333333
11210680,23728.0,8335.0,1872.0,1127.0,2974.0,1864.0,2855.0,1459.0,2164.0,982.0,1495.5,1220.5,35.12727579231288,17.94241151769646,14.643071385722855
11220560,8653.0,662.0,614.0,41.0,412.0,36.0,452.0,87.0,636.0,123.0,38.5,105.0,7.650525829192188,5.81570996978852,15.861027190332328
11240590,14286.0,598.0,1691.0,70.0,972.0,42.0,802.0,59.0,857.0,55.0,56.0,57.0,4.185916281674366,9.364548494983277,9.531772575250837
11230520,21391.0,9257.0,1623.0,892.0,3167.0,1758.0,3795.0,2277.0,2769.0,1565.0,1325.0,1921.0,43.275209200130895,14.31349249216809,20.751863454682944
11150600,15090.0,1282.0,1152.0,54.0,1069.0,56.0,1620.0,110.0,1854.0,110.0,55.0,110.0,8.495692511597085,4.290171606864274,8.580343213728549
11080630,19034.0,2012.0,1650.0,209.0,1501.0,202.0,1774.0,185.0,1810.0,167.0,205.5,176.0,10.570557948933487,10.213717693836978,8.747514910536779
11080640,15724.0,3465.0,3036.0,1221.0,1791.0,715.0,1324.0,231.0,980.0,148.0,968.0,189.5,22.036377512083437,27.936507936507937,5.4689754689754695
11080780,11466.0,1436.0,945.0,163.0,832.0,155.0,884.0,83.0,926.0,78.0,159.0,80.5,12.523983952555382,11.07242339832869,5.605849582172702
11010690,6318.0,1014.0,571.0,80.0,572.0,88.0,582.0,110.0,513.0,91.0,84.0,100.5,16.049382716049383,8.284023668639055,9.911242603550296
11010700,6028.0,1452.0,510.0,104.0,531.0,118.0,629.0,218.0,527.0,170.0,111.0,194.0,24.087591240875913,7.644628099173553,13.360881542699724
11010710,8835.0,3369.0,768.0,440.0,1044.0,624.0,1005.0,493.0,739.0,324.0,532.0,408.5,38.13242784380306,15.79103591570199,12.125259720985456
11010720,10783.0,1686.0,844.0,140.0,835.0,158.0,1002.0,234.0,1106.0,230.0,149.0,232.0,15.635722897152926,8.837485172004746,13.76037959667853
11010730,18870.0,7012.0,3782.0,2476.0,3344.0,2139.0,1863.0,655.0,1336.0,423.0,2307.5,539.0,37.1595124536301,32.907872219053054,7.686822589845978
11020520,1579.0,714.0,57.0,31.0,152.0,91.0,200.0,105.0,183.0,91.0,61.0,98.0,45.21849271690944,8.543417366946779,13.725490196078432
11020540,4633.0,1358.0,232.0,67.0,396.0,121.0,358.0,146.0,364.0,136.0,94.0,141.0,29.311461256205483,6.9219440353460975,10.382916053019146
11020550,3464.0,1903.0,211.0,224.0,302.0,270.0,306.0,241.0,276.0,191.0,247.0,216.0,54.93648960739031,12.979506043089858,11.350499211770888
11020570,4385.0,1884.0,762.0,415.0,578.0,310.0,459.0,209.0,300.0,124.0,362.5,166.5,42.96465222348917,19.240976645435246,8.837579617834395
11020650,8572.0,2101.0,681.0,216.0,693.0,234.0,819.0,251.0,858.0,237.0,225.0,244.0,24.510032664489035,10.70918610185626,11.613517372679677
11030690,10526.0,1554.0,845.0,132.0,703.0,141.0,777.0,179.0,908.0,167.0,136.5,173.0,14.7634429032871,8.783783783783784,11.132561132561133
11030700,14278.0,4108.0,1156.0,343.0,1420.0,457.0,1507.0,596.0,1305.0,479.0,400.0,537.5,28.77153662978008,9.737098344693282,13.084225900681599
11030710,18720.0,5899.0,2613.0,1271.0,2269.0,1130.0,1990.0,792.0,1551.0,563.0,1200.5,677.5,31.511752136752136,20.35090693337854,11.484997457196135
11030720,11314.0,2391.0,854.0,256.0,1187.0,410.0,1584.0,417.0,1405.0,333.0,333.0,375.0,21.133109421955098,13.927227101631118,15.683814303638647
