ADM_CD,사업체수_2022,종사자수_2022,금융기관_2023,유통업체수_2022,대형마트_2022,쇼핑업체수_2022,대학교,기타대학,면적
11160580.0,1769,4703,0,0,0,0,0.0,0.0,0.53
11160590.0,1880,4173,0,0,0,0,0.0,0.0,0.82
11160550.0,2046,4591,0,0,0,0,1.0,0.0,0.98
11160610.0,2404,13057,0,0,0,0,0.0,0.0,1.11
11160630.0,1731,4037,0,0,0,0,0.0,0.0,0.53
11160640.0,10343,74453,0,0,0,0,0.0,0.0,4.7
11160650.0,859,3354,0,1,1,0,0.0,0.0,1.0
11160660.0,1154,7316,0,0,0,0,0.0,0.0,0.5
11160670.0,7088,34449,0,1,0,1,0.0,0.0,2.94
11160740.0,2546,7512,0,0,0,0,0.0,1.0,1.36
11160690.0,2792,34219,0,0,0,0,0.0,0.0,10.87
11160700.0,3796,12715,0,1,0,1,0.0,0.0,1.48
11160710.0,3952,16550,0,1,0,1,0.0,0.0,6.41
11160720.0,1267,4884,0,0,0,0,0.0,0.0,2.55
11170510.0,3761,16533,0,2,1,1,0.0,0.0,1.47
11170520.0,1192,3140,0,1,0,1,0.0,0.0,1.02
11170710.0,9562,31653,0,4,0,4,0.0,0.0,1.76
11170540.0,10727,95600,0,1,1,0,0.0,0.0,1.02
11170550.0,2439,6617,0,0,0,0,0.0,0.0,0.46
11170560.0,5737,26465,0,4,1,3,0.0,0.0,1.03
11170700.0,1170,4434,0,0,0,0,0.0,0.0,0.4
11170610.0,3228,10733,0,5,0,5,0.0,1.0,1.16
11170620.0,2285,5054,0,0,0,0,0.0,0.0,1.02
11170720.0,2515,6013,0,0,0,0,1.0,0.0,1.31
11170640.0,1754,3866,0,0,0,0,0.0,0.0,0.8
11170650.0,1408,8875,0,1,0,1,0.0,0.0,0.81
11170670.0,1752,5386,0,1,0,1,0.0,0.0,0.59
11170730.0,2413,8308,0,0,0,0,1.0,0.0,3.2
11170690.0,1782,6305,0,0,0,0,0.0,0.0,2.67
11170740.0,1263,3658,0,0,0,0,0.0,0.0,1.4
11180510.0,25533,182349,0,5,0,5,0.0,0.0,2.52
11180520.0,5691,25250,0,7,2,5,0.0,0.0,2.09
11180530.0,1549,4468,0,0,0,0,0.0,0.0,0.6
11180540.0,2583,6778,0,0,0,0,0.0,0.0,0.92
11180550.0,1366,3212,0,0,0,0,0.0,0.0,0.59
11180570.0,4219,16226,0,1,1,0,0.0,0.0,1.71
11180580.0,1072,2774,0,0,0,0,0.0,0.0,1.26
11180590.0,3779,9201,0,2,0,2,0.0,0.0,1.07
11180600.0,1162,2223,0,0,0,0,0.0,0.0,0.87
11180610.0,1484,3835,0,0,0,0,0.0,0.0,1.39
